Rank,Player,Pos.,Best,Worst,Avg.,Std. Dev.
1,Ashton Jeanty (FA),RB1,1,1,1,0
2,Omarion Hampton (FA),RB2,2,7,3.2,1.4
3,Tetairoa McMillan (FA),WR1,2,7,3.4,1.4
4,TreVeyon Henderson (FA),RB3,3,11,5.7,2.1
5,Emeka Egbuka (FA),WR2,3,11,6.5,2.2
6,Travis Hunter (FA),WR3,2,27,6.7,5.6
7,Tyler Warren (FA),TE1,4,14,8,2.7
8,Luther Burden III (FA),WR4,4,23,9.9,4.8
9,Quinshon Judkins (FA),RB4,4,26,10.6,5.9
10,Kaleb Johnson (FA),RB5,3,24,11.4,4.4
11,Matthew Golden (FA),WR5,7,26,12.1,4.1
12,Colston Loveland (FA),TE2,5,21,12.2,3.8
13,Cam Ward (FA),QB1,5,24,13.1,4.4
14,Tre Harris (FA),WR6,7,26,14.3,4.7
15,Cam Skattebo (FA),RB6,7,27,17.6,5.4
16,Jayden Higgins (FA),WR7,10,31,18.2,5.6
17,Shedeur Sanders (FA),QB2,9,38,18.2,5.6
18,Jaylin Noel (FA),WR8,9,43,21.6,8.3
19,Elic Ayomanor (FA),WR9,10,48,22.3,8.1
20,Devin Neal (FA),RB7,14,38,23.3,7.7
21,Dylan Sampson (FA),RB8,12,38,23.4,8.3
22,Jaxson Dart (FA),QB3,9,43,24.3,7.5
23,RJ Harvey (FA),RB9,14,47,24.7,9.1
24,Jalen Royals (FA),WR10,14,41,25.2,5.7
25,Bhayshul Tuten (FA),RB10,15,44,27.1,7.4
26,Jack Bech (FA),WR11,16,52,27.3,8.1
27,Isaiah Bond (FA),WR12,17,55,31.7,10.2
28,Jalen Milroe (FA),QB4,16,55,32.6,9.3
29,Ollie Gordon II (FA),RB11,20,55,33.5,9
30,Elijah Arroyo (FA),TE3,19,61,34.4,9.8
31,Xavier Restrepo (FA),WR13,17,71,34.5,11.1
32,Harold Fannin Jr. (FA),TE4,16,58,32.6,9.5
33,Mason Taylor (FA),TE5,17,57,36.2,9.9
34,DJ Giddens (FA),RB12,18,60,31.8,11
35,Tez Johnson (FA),WR14,24,67,38,10.1
36,Damien Martinez (FA),RB13,19,62,31.7,8.7
37,Tory Horton (FA),WR15,23,58,38.1,6.7
38,Savion Williams (FA),WR16,30,74,40.2,9.2
39,Kyle Williams (FA),WR17,20,63,35.5,13.7
40,Tai Felton (FA),WR18,24,60,42.1,8.8
41,Terrance Ferguson (FA),TE6,23,82,48.4,16.1
42,Trevor Etienne (FA),RB14,23,60,41.1,9.4
43,Pat Bryant (FA),WR19,28,76,51,10.7
44,Tyler Shough (FA),QB5,25,72,49,10.8
45,Ricky White III (FA),WR20,36,83,51.8,10.2
46,Brashard Smith (FA),RB15,28,73,47,10.8
47,Jordan James (FA),RB16,18,69,41.4,11.4
48,Tahj Brooks (FA),RB17,32,95,48.5,12.9
49,Quinn Ewers (FA),QB6,26,80,54.1,11.3
50,Nick Nash (FA),WR21,35,82,54.1,10.2
